order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
2e7a8482f6fb09756ca50c10d7bfc047,08c5351a6aca1c1589a38f244edeee9d,shipped,2016-09-04T21:15:19.000Z,2016-10-07T13:18:03.000Z,2016-10-18T13:14:51.000Z,,2016-10-20T00:00:00.000Z
e5fa5a7210941f7d56d0208e4e071d35,683c54fc24d40ee9f8a6fc179fd9856c,canceled,2016-09-05T00:15:34.000Z,2016-10-07T13:17:15.000Z,,,2016-10-28T00:00:00.000Z
809a282bbd5dbcabb6f2f724fca862ec,622e13439d6b5a0b486c435618b2679e,canceled,2016-09-13T15:24:19.000Z,2016-10-07T13:16:46.000Z,,,2016-09-30T00:00:00.000Z
bfbd0f9bdef84302105ad712db648a6c,86dc2ffce2dfff336de2f386a786e574,delivered,2016-09-15T12:16:38.000Z,2016-09-15T12:16:38.000Z,2016-11-07T17:11:53.000Z,2016-11-09T07:47:38.000Z,2016-10-04T00:00:00.000Z
71303d7e93b399f5bcd537d124c0bcfa,b106b360fe2ef8849fbbd056f777b4d5,canceled,2016-10-02T22:07:52.000Z,2016-10-06T15:50:56.000Z,,,2016-10-25T00:00:00.000Z
3b697a20d9e427646d92567910af6d57,355077684019f7f60a031656bd7262b8,delivered,2016-10-03T09:44:50.000Z,2016-10-06T15:50:54.000Z,2016-10-23T14:02:13.000Z,2016-10-26T14:02:13.000Z,2016-10-27T00:00:00.000Z
be5bc2f0da14d8071e2d45451ad119d9,7ec40b22510fdbea1b08921dd39e63d8,delivered,2016-10-03T16:56:50.000Z,2016-10-06T16:03:44.000Z,2016-10-21T16:33:46.000Z,2016-10-27T18:19:38.000Z,2016-11-07T00:00:00.000Z
65d1e226dfaeb8cdc42f665422522d14,70fc57eeae292675927697fe03ad3ff5,canceled,2016-10-03T21:01:41.000Z,2016-10-04T10:18:57.000Z,2016-10-25T12:14:28.000Z,2016-11-08T10:58:34.000Z,2016-11-25T00:00:00.000Z
a41c8759fbe7aab36ea07e038b2d4465,6f989332712d3222b6571b1cf5b835ce,delivered,2016-10-03T21:13:36.000Z,2016-10-05T03:11:49.000Z,2016-10-25T11:57:59.000Z,2016-11-03T10:58:07.000Z,2016-11-29T00:00:00.000Z
d207cc272675637bfed0062edffd0818,b8cf418e97ae795672d326288dfab7a7,delivered,2016-10-03T22:06:03.000Z,2016-10-04T10:28:07.000Z,2016-10-21T14:23:37.000Z,2016-10-31T11:07:42.000Z,2016-11-23T00:00:00.000Z
